company_name,company_email,company_summary
Comarch S A,anastasiia.kravets@comarch.com,"Comarch is a Polish multinational software house and systems integrator that provides innovative IT products and services for multiple industries, including telecommunications, banking, airlines, petrol stations, and more. They offer a wide range of technical works and skills, including AI/ML-driven network efficiency, full network cloudification, comprehensive network overview, 5G-ready business solutions, future-proof IoT by design, monetizing vertical markets, omnichannel digital customer engagement, autonomous"
CompatibL sp. z o.o.,jobs@compatibl.com,"The company CompatibL is a leading provider of custom software development services, trading and risk management software solutions, cloud services and solutions, and model solutions. They have offices in Warsaw, Poland and Lisbon, Portugal. They specialize in computer systems design and offer a risk platform."
COMPUTOOLS,hr@computools.com,"Computools is a company that specializes in creating structured and efficient software solutions for businesses. They offer services such as digital transformation, data and analytics, web development, mobile development, solution architecture, and software testing. They also provide technology advisory services, including CTO as a Service and modernization roadmap. Computools works with various industries, including healthcare, finance, logistics, travel and hospitality, education, and social networks. They aim to optimize organizations for"
Concilium Business Solutions sp. z o.o.,jpiotrowski@incubator-poland.com,"Concilium Business Solutions is a company based in Poland that offers professional business consulting, comprehensive accounting services, and specialized leasing of employees. They aim to make organizations agile and innovative to boost profits and engage people in their strategy. They also provide an incubator and accelerator program to help businesses grow."
Consileon Polska Sp. z o.o.,praca@consileon.pl,"Consileon Polska provides IT services and solutions that support business processes in sectors such as finance and banking, insurance and investments, automotive, and trade. They specialize in IT consulting and offer best of breed IT solutions in demanding and fast-growing economic sectors. They have experience in projects such as creating a dedicated ERP system for a group of independent companies, building a content management system for a network of cosmetic stores, and developing and maintaining a platform for a"
CONSTANTROBOTICS,support@constantrobotics.com,"Constant Robotics specializes in video processing algorithms and software libraries. They offer a range of C++ libraries for various video processing tasks, including video tracking, object detection, video stabilization, motion detection, event detection, and polarization processing. These libraries are designed to work with any processor platform and can be used in applications such as video surveillance, detection systems, and real-time tracking. Constant Robotics also has a presence on GitHub, where they share code repositories and engage"
Contexxt EU,S@contexxt.com,"The company works on advanced smart textiles and connects research and innovation efforts in this field. They aim to improve EU policies at the local level and promote peace, security, and fundamental rights and freedoms."
CompatibL Sp.z o.o.,jobs@compatibl.com,"The company CompatibL is a leading provider of custom software development services, trading and risk management software solutions, cloud services and solutions, and model solutions. They have offices in Warsaw, Poland and Lisbon, Portugal. They specialize in computer systems design and offer technical works and skills related to trading, risk management, and quantitative solutions."
COOPLE (POLAND) Sp. z o.o.,katarzyna.kulik@coople.com,"The company Coople is a staffing platform that connects companies with people looking for flexible work. They have offices in Switzerland, the UK, and Poland. They specialize in computer systems design and related technical works."
Coral Team Sp. Z O. O.,alexm@coral.team,"Coral Team is an IT company that offers a range of technical services and products. They specialize in Salesforce consulting, integration, support, and customization. They also provide services in Microsoft .NET, SharePoint, DevOps/QA automation, and .NET development. Additionally, Coral Team works with media and broadcast companies, offering solutions in content distribution, ad sales, digital/OTT, and signal management. They have developed products such as Coral Time, a"
Core Partners Poland sp. z o.o.,cjanus@corepartners.com,Core Partners Poland Sp. z o.o. is a company based in Poland that operates in the field of computer systems and provides consulting services for companies interested in investing in Central and Eastern Europe. They are an independent advisor focused on supporting enterprises and have been present in Poland and Central and Eastern Europe for many years. They offer technical expertise and services to help companies with their investments and business operations in the region.
Corevist,hr@corevist.com,"Corevist specializes in providing solutions that leverage ERP (Enterprise Resource Planning) investments in digital channels. They offer prebuilt and configurable integration to SAP ERP systems. Their solutions include B2B eCommerce, field sales portals, online payments, and online order tracking. Corevist aims to help businesses optimize their digital channels and enhance their customer experience."
Corevist,jesse.bongartz@corevist.com,"Corevist is a company that specializes in leveraging ERP (Enterprise Resource Planning) investments in digital channels. They offer prebuilt and configurable integration solutions to SAP ERP systems. Their services include Corevist Commerce Cloud, B2B Ecommerce platform, and use cases for various industries."
Corevist,levan.bregadze@corevist.com,"Corevist is a company that specializes in leveraging ERP (Enterprise Resource Planning) investments in digital channels. They offer prebuilt and configurable integration solutions to SAP ERP systems. Their services include Corevist Commerce Cloud, B2B Ecommerce platform, and use cases for various industries."
Craftware,amajewska@craftware.biz,"The company specializes in 3D printing technology and offers 3D printers, filaments, and spare parts. They also provide slicer software called CraftWare Pro, which converts digital 3D objects into a .gcode toolpath format. Additionally, they offer services such as mass customization and slicer customization. The company also has a Salesforce CRM implementation and integration service. They are also involved in the import and wholesale supply of pottery, baskets"
Create IT ,i.kwiatkowska@createit.com,"Create IT is a company that specializes in professional hair care products. They offer a range of shampoos, conditioners, and hair styling products made with natural ingredients. Their product lines include Simplicity, Style IT, Cocktails, and Solutions. Simplicity includes products such as Simply Moisture, Simply Volume, and Simply Restore. Style IT offers products like Capture IT, Chill IT, and Nail IT. Cocktails includes a range of"
Curiosum,mikolaj.musiol@curiosum.com,"Curiosum is a software house that specializes in custom web and mobile development. They use Elixir, Phoenix, React, and GraphQL technologies to provide speed, efficiency, and scalability to their clients. They offer services in various industries such as e-commerce, education, human resources, entertainment, and healthcare. They have a portfolio of successful projects and have received positive feedback from their clients. They also have a blog, career page, and contact information available"
Customertimes Poland sp. z o.o.,aleksander.drozd@customertimes.com,"Customertimes is a consulting firm that specializes in delivering solutions for business challenges. They offer services in areas such as product design and development, digital experience, engineering services, agile application development, cloud computing, data and analytics, quality assurance and engineering, sales automation, customer experience, digital commerce, legacy modernization, and managed support. They work with various industries including healthcare and life sciences, banking and financial services, consumer packaged goods, and manufacturing."
Custom Games Studio,Angelina.zaretskaya@dvash.pl,"Custom Games Studio specializes in casino games development, including slot games, bingo games, and card games. They create engaging and high-quality games for web and mobile platforms, as well as software for physical slot machines. Their team has experience working with game developers, tech companies, gambling startups, casino operators, and platform providers in the casino games industry. They offer services to help their clients boost and scale their product release capability, achieve faster time-to-market,"
CVT,az@cvt.services,"A continuously variable transmission (CVT) is an automated transmission that can change through a continuous range of gear ratios. It is a type of automatic transmission that seamlessly changes through an unending range of effective gear ratios while driving. CVTs provide a smoother driving experience compared to traditional automatic transmissions. They are used in various applications, including passenger vehicles, racing cars, small vehicles, farm and earthmoving equipment, and power generation systems. CVTs can be"
CYBERVISION TECHNOLOGIES SP. Z O.O.,mrotuska@cybervisiontech.com,"CyberVision is a technology company that specializes in software development, data engineering, machine learning, cloud technology, and IoT development. They offer services such as software development, technical support, IT managed services, big data analytics, IoT development, and cloud migration. They are an official Google Cloud partner and provide expertise in Google Cloud Platform, including cloud data fusion and migration. They have a long history of global success stories and have been in the industry for"
Cyclad sp. z o.o.,anna.kosinska@cyclad.pl,"Cyclad is an international consulting company operating in the IT/ICT sectors. They specialize in HR outsourcing and IT outsourcing, providing solutions for HR and IT services. They offer services such as Service Desk, Infrastructure, Quality Assurance, and software solutions. They have worked with big brands and have offices in multiple locations around the world."
D-Factor Sp. z.o.o.,hr@d-factor.pro,"D-Factor is a company that selects and provides software development teams from Eastern Europe. They offer trustful and qualified developers for projects, help find and manage remote/onsite employees, and assist in setting up remote IT departments. They also offer consulting services for new product development, management and audit services, and HR services for hiring in-house software developers. D-Factor focuses on providing well-knit teams with necessary expertise, cost reduction compared to in"
Dark Passenger Sp. z o.o.,pawel.kuleta@darkpassenger.eu,"Dark Passenger is a game development studio based in Warsaw, Poland. They specialize in creating video games and their team consists of both veterans and fresh blood specialists in the gaming industry. They have experience working on titles such as The Witcher 3: Wild Hunt and Cyberpunk 2077. They have recently started working on their own project, which is currently in the early production phase. Their focus is on creating exciting and engaging experiences and stories in a"
DarwinApps sp. z o. o.,yury@darwinapps.com,"Darwin Apps is a digital experience agency that helps businesses, start-ups, and nonprofits create brands, websites, tools, and apps that customers love. They offer services in experience design, development, support and improvement, marketing, and strategy. They focus on understanding their clients' businesses and finding the right solutions to create digital products that drive results. They work with a range of clients, from small businesses to Fortune 500 companies, and have partnerships with"
DataArt Kraków sp. z o.o.,gkremenetsky@dataart.com,"DataArt Krakow is a software engineering firm that operates in the field of computer systems design and related services. They are a global company with a main office in Krakow, Poland. They offer technical services and collaborate with market leaders and visionaries in various industries. Their expertise includes software development, data analysis, and technology consulting. They have a team of skilled professionals who provide innovative solutions to their clients' technical challenges."
DataArt Poland,hr-lublin@dataart.com,"DataArt is a global enterprise software development company that specializes in designing, building, and supporting unique custom software solutions for businesses. They have offices in Warsaw, Wroclaw, and Lublin, Poland. They offer services such as software engineering, R&D, and HR management. DataArt takes a human approach to problem-solving and has over 20 years of experience in the industry."
DataArt Wrocław sp. z o.o.,support.wro@dataart.com,"DataArt Wroclaw is a company located in Wroclaw, Poland. They offer technical services and skills in computer systems. They are a member of a group of undertakings and operate as an enterprise in the field of technology."
DATAMOLA PL  Sp. z o.o.,mzarenok@datamola.com,"Datamola Pl Sp. z o.o. is a company in Poland that operates in the field of computer systems. They are involved in technical works and skills related to AI drone education, smart AI/ETL data GPU processing tools, and data streams. They also provide services related to data processing and analysis."
DATA SKY NET PROSTA SPÓŁKA AKCYJNA,info@data-sky.net,"Based on the limited information available, it is difficult to determine the specific technical works and skills of DATA SKY NET PROSTA SPÓŁKA AKCYJNA. However, it appears to be a company involved in data and network-related services, potentially including data management, network infrastructure, and possibly cloud computing or cybersecurity."
DAZN MEDIA POLAND SP. Z O.O.,agata.zdrojewicz@dazn.com,"DAZN is a company that operates in the computer systems design and related fields. They specialize in programming, software development, online media, and broadcast media. They have teams in technology, product, and finance, and their main office is located in Katowice, Poland. DAZN provides on-demand audio-visual media services under the DAZN brand, and they offer OTT services in various countries including Germany, Austria, Switzerland, Italy"
DAZN MEDIA POLAND SP. Z O.O.,dominika.kocwin@dazn.com,"DAZN is a company that operates in the computer systems design and related fields. They specialize in programming, software development, online media, and broadcast media. They have teams in technology, product, and finance, and their main office is located in Katowice, Poland. DAZN provides on-demand audio-visual media services under the DAZN brand, and they offer OTT services in various countries including Germany, Austria, Switzerland, Italy"
deepsense.ai sp. z o.o.,renata.maszczykowska@deepsense.ai,"deepsense.ai is an AI development company that specializes in AI guidance and AI implementation services. They have a team of 120 AI experts and have delivered over 200 AI projects. They work with various industries including retail, manufacturing, financial services, IT operations, TMT, medical, and beauty. They offer customized AI software development and have a focus on generative AI solutions. They also provide resources such as articles, case studies, and a"
DELOITTE ADVISORY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,ceplrekrutacja@deloittece.com,"Deloitte offers a range of technical services and skills, including:

- Audit & Assurance: providing audit advisory services, financial statement audits, and assistance with IPOs.
- Consulting: offering services in strategy, analytics, mergers and acquisitions, customer and marketing, and enterprise technology and performance.
- Tax Advisory: providing advice on tax strategies, employer zone, withholding tax, national e-invoice system, and tax classification.
- Risk Management: offering"
Delve Partners Sp. z o.o.,justyna.bancerek@delvedeeper.com,"DELVE is a technology-first digital consultancy that specializes in data-driven marketing and e-commerce. They help businesses identify, engage, and convert their most profitable customers to accelerate revenue growth. Their services include data insights, marketing ROI optimization, revenue growth strategies, in-housing skills development, and technology upgrades. They also offer services such as third-party data assessment, first-party data enablement, and tech architecture audits. Overall, DELVE focuses on leveraging data"
DEMANT BUSINESS SERVICES POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,rekrutacja@demant.com,"Demant Business Services Poland Sp. z o.o. is a company that provides business services in Poland. They are part of the international organization William Demant, which specializes in the production of hearing aids, bone implants, and other related products. They work with the latest technologies and develop innovative solutions used worldwide. They are a stable and growing company and have talented teams that can be relied upon."
Demant Operations Poland SP. z o.o.,rekrutacja@demant.com,"Demant is a multinational company that operates in the field of hearing healthcare. They offer solutions and services to help people with hearing loss connect with the world around them. Their work includes developing and manufacturing hearing devices, hearing implants, diagnostics, audio and video solutions, and providing hearing care services. They use innovative technologies and know-how to improve people's health and hearing. Demant has multiple subsidiaries in Poland, including Demant Operations Poland Sp. z o"
Develocraft Sp. z o.o.,kamil.parafiniuk@develocraft.com,"Develocraft is a software development agency that helps tech startups bring their ideas to life. They offer services such as project development, product design, staff augmentation, and permanent recruitment. They have a team of experienced IT professionals and have worked with over 100 clients worldwide. They prioritize flexibility, technical expertise, proactive project management, and knowledge sharing. They also provide market reports and insights to their partners."
Devrun Tech Sp. z o. o.,hq@devrun.tech,"Devrun Tech is a technical company that specializes in computer system design and related services. They are a limited liability company based in Gdańsk, Poland. They have a capital of 50,000 PLN and employ between 2-10 people. They operate in the information technology and services industry."
Digital Services Poland Sp. z o.o.,monika.rumianek@capital.com,Digital Services Poland is a company that specializes in market making software products. They use their mathematical and technical skills to develop trading algorithms. They believe in dreaming big and offer great jobs to great people. They also believe in the strength of maths and validate and improve their mathematical approach every day. They emphasize the power of talent and believe in cooperation.
DINOBIT ROMAN MALYUGIN,indominus@dinobitsoft.com,"The company DINOBIT ROMAN MALYUGIN is involved in software development and IT consulting. They offer services such as building software and providing IT solutions. Roman Malyugin, the founder of the company, is a software engineer and entrepreneur."
Direct Communication Sp. z o.o.,praca@directpl.com,"Directio is a company that specializes in IT outsourcing and software development services. They offer services such as software development, software testing, robotic process automation, Salesforce services, and ServiceNow services. They also provide DevOps services and have a team of professionals who work on these projects. The company is based in Warsaw, Poland, but has offices in Manila, Philippines, and Chicago, USA. They work with clients from around the world and aim to provide"
DKS Group Sp. Z.O.O.,mail@dksgroup.eu,"DKS Group Sp. Z.O.O. is a vendor-independent company that specializes in innovative infrastructure service solutions, consultancy, and project management. They have unrivaled experience in the market and specialize in designing and implementing the best ICT products and service solutions. They focus on providing services and solutions to maximize their clients' business benefits, which can include a wide range of IT services and technologies tailored to the client's specific business needs. They offer services such"
DOINTEGRATE,aleh.b@dointegrate.com,The company specializes in the technical process of breaking or decomposing objects into smaller particles or fragments. They also have skills in destroying the cohesion or unity of objects and causing them to break or separate into constituent elements or parts.
Dotdigital Poland Sp. z o.o.,recruiters@dotdigital.com,Dotdigital Poland Sp. z o.o. is a company in Poland that operates in the field of Computer Systems Design. They also engage with third-party data processors and provide career opportunities in Poland.
Draivn Poland,alex@draivn.com,"I apologize, but I am unable to access the search results at the moment. However, based on the information provided in the snippets, Draivn is a company that specializes in data collection, harmonization, and sharing for fleet information. They offer an open mobility platform for telematics data exchange and aim to provide a comprehensive and useful fleet dataset through a single API, specifically tailored for the benefit of insurers and brokers."
Draw Distance S.A.,jobs@drawdistance.dev,Draw Distance is a Polish indie game development studio and publisher with 10 years of experience. They develop games for multiple platforms and have worked on casual games in the past. They also have a research and development division.
DREAMSOFT-PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,info@dreamsoft-pl.eu,Dreamsoft is a Polish company that specializes in the sale and distribution of computer software. They import and sell software and also offer services such as software development and design. They create custom web and mobile applications for companies of any size. The company is registered as DREAMSOFT-PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ and is based in Warsaw.
DREAMTEAM APPS sp. z o.o.,ceo@dreamteam-apps.pl,"DreamTeam Apps is a mobile app and games developer that focuses on creating projects with outstanding user experience. They craft utilities for everyday life and offer a range of apps and games for various purposes. They are based in Poland and have a head office in Warsaw. Some of their apps include Screen Share, Mirror, Smart TV, Sober Buddy - Sobriety Counter, and Smoke Free App: Quit Smoking. They are known for their expertise in mobile development"
Dronehub,careers@dronehub.ai,"Dronehub specializes in the development of autonomous drone-in-a-box solutions. They have created a hub for drones that enables fully automated missions, on-demand tasks, and intelligent flight to collect aerial data and improve security. Their solutions include AI software, remote security and monitoring, intelligent battery management, scheduled and on-demand missions, automated drone operations, an AI platform, all-weather hubs, and customizable software. They aim to transform industries by using autonomous drones"
DRONEX POLAND PROSTA SPÓŁKA AKCYJNA,vk@dronex.com,"The company, DRONEX POLAND PROSTA SPÓŁKA AKCYJNA, is involved in the development of software and applications. They operate in the Computer Systems Design and Related Services sector."
Droptica ,kamila.pietras@droptica.pl,"Droptica is a company that specializes in creating websites and applications using products and services such as Drupal, Symfony, Laravel, and React. They offer services such as Drupal consulting, software development, frontend development, web development, and custom software development. They also have expertise in technologies such as PHP, Symfony, Laravel, Drupal development, React, Next.js, Node.js, Sylius, Mautic, and Pimcore."
Droptica ,jobs@droptica.com,"Droptica is a software development company and interactive agency that specializes in creating websites and applications using products and services such as Drupal, Symfony, Laravel, and React. They offer services such as custom application development, software development, product design, frontend development, web development, software testing QA, and AI development. They have expertise in technologies such as PHP, Symfony, Laravel, Drupal Development, React, Next.js, Node.js, Sylius,"
DTEAMS,aliaksei@dedicated-teams.com,"Based on the search results, the company focuses on providing information and articles about dreams, including their causes, types, meanings, interpretations, and the process of forgetting dreams. They cover various aspects of dreaming and aim to help readers understand and explore the world of dreams."
Dvash Poland sp. z o.o.,inbox@dvash.pl,"Dvash is a recruiting agency specializing in IT staffing for software and game development companies. They offer services such as managed payroll solutions, local office setup and management, and recruitment for various technical roles including engineering, creative, product, DevOps, and LiveOps. They have over 5 years of experience and have staffed over 1.3k positions. Clients have praised their effectiveness, attention to needs, and value for money."
Dynamic Solutions Sp. z o.o. Sp. k.,joanna.rozmyslowska@ds.pl,"Dynamic Solutions is a company that specializes in software development and creating innovative products. They have a strong background in engineering and a focus on new technologies. Their main area of expertise is complex Adobe Experience Manager (AEM) implementations, upgrades, and integrations with third-party systems. They also offer embedded teams of experienced professionals who can seamlessly integrate into existing projects. Additionally, they develop their own products, such as WebSight for real-time DXP compos"
Dyna-Soft Spółka z Ograniczoną Odpowiedzialnością,y.kruk@dyna-soft.com,"Dyna-Soft is a company that specializes in Microsoft Dynamics 365 and Microsoft Dynamics CE development and consulting. They offer services such as customization and extension of ERP and CRM systems, technical analysis, design, implementation, and post-go-life support. They have a team of skilled developers and consultants with expertise in Microsoft Dynamics 365 and CE, including Retail and eCOM development and customization. They aim to be a valued partner to their customers and strive for"
Dynatrace Sp. z o.o.,people.operations.poland@dynatrace.com,"thrive and succeed in your career. Here are some of the benefits and perks offered at Dynatrace Gdańsk:

1. Autonomy culture: Dynatrace Gdańsk promotes an autonomy culture that focuses on fulfilling customer needs.

2. Mindset: The lab values mindset as the most important factor when considering candidates. They believe that skillset comes naturally with the right mindset.

3. Open-minded engineers: The lab is looking"
Dynevo Group sp. z o.o.,andrei@dynevo.org,"Dynevo Group is a software development company based in Poland. They have over 8 years of experience and have successfully delivered over 75 projects worldwide. They offer comprehensive software development services, including product consulting and management practices. They specialize in web development and provide solutions for Fintech, Business, and Management. They also offer IT consulting services and provide ongoing support for platforms after development. Dynevo Group is known for their expert advice, development"
E100 International Trade sp. z o.o.,y.khaietska@e100it.pl,"E100 International Trade is a company that provides international business solutions in energy, mobility, and value-added services. They offer an international fuel card that allows hassle-free travel across Europe and Asia, with an acceptance network of over 20,000 merchants in 32 countries. They also provide services such as tax refund, factoring, cashless toll payments, and additional transport services. E100 has offices in 12 countries, over 500 employees,"
EASYBRAIN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hr@easybrain.com,Easybrain is a mobile game developer that specializes in game development and product management. They have more than 1.5 billion downloads and are based in Poland. They also operate in the Computer Systems Design industry.
ECPD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,dmitrii.halyniak@gmail.com,"ECPD is a company that specializes in providing comprehensive legislation services for foreign workers and entrepreneurs in Europe. They offer programs for apprentices, self-employed individuals, and entrepreneurs. Their services include assistance with document preparation and submission, interviews and fingerprinting, and issuance of ID cards. They also provide legal support and consultation."
EduCat,marek.holowko@educat.study,"NMU EduCat™ is an online course management system being adopted at Northern Michigan University (NMU). It is powered by Moodle and provides online learning resources and tools for students and faculty. EduCat™ supports high school students in the process of applying to universities and connects them with mentors. It promotes entrepreneurship and strong leadership among youth and opinion leaders in Rwanda, challenging them to take risks and think creatively."
Edvantis Sp. Z o. o.,nazariy.hudz@edvantis.com,"The company Edvantis is an experienced software development company that offers IT outsourcing and custom software development services. They have a wide range of services designed to meet various business needs. They also have expertise in different industries. The company is based in Poland, with its head office in Rzeszow. They operate in the Computer Systems Design and Related field. The company is led by Tadeusz Płodzień, who is the General Manager"
EFFECTIVESOFT POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,HR@effectivesoft.pl,The company EffectiveSoft specializes in custom software development. They have 20 years of experience and a team of 300 professional programmers. They have successfully completed 1500 projects for various industries. They have development centers in Poland and Costa Rica.
Efisco sp. z o. o.,yash@efisco.net,"Efisco is a software development company that offers nearshore software development and IT services. They provide services such as strengthening development teams, building MVPs, and creating new generations of clients' disruptive products. They also offer solutions like integrating top engineers into in-house teams, managing teams that report to the product owner, and complete software development from start to finish. Efisco has a team of professionals with extensive experience in servicing IT businesses and they have expertise in"
EGOROV AGENCY sp. z o.o.,ee@egorovagency.com,Egorov Agency is a company that specializes in eCommerce and WebAR development. They have a young and talented team of highly qualified specialists who develop corporate websites and provide creative solutions. They have been in operation since 2019 and are based in Poland.
EIS Software Poland Sp. z.o.o,lbekish@eisgroup.com,"The company EIS Group provides customer-centered core insurance systems for benefits and P&C insurers that are digital ready, highly configurable, extensible, and scalable. They offer a cloud-native, API-first, digital insurance platform that enables insurers to innovate like a tech company. They also develop engineering software solutions for various engineering problems, including SAP2000/ETABS, AutoCAD, and TEKLA API."
Ejsak Group Sp. z o.o.,sasza@ejsak.pl,"Ejsak Group specializes in creating interactive experiences, including multimedia systems, interactive applications, and touch, gesture, and motion-controlled technologies. They also offer services in scenography, multimedia innovations, electronics, mechatronics, and management systems. They have worked on projects such as immersive museums, mobile exhibitions, virtual tours, and business applications."
Elastic soft,info@elasticsoft.io,"The company specializes in the production and sale of soft elastic bands for sewing, including waistband elastic and stitch-through elastic. They offer a variety of options for different sewing projects, such as skirts, slacks, shorts, and pants. The elastic bands are designed to be durable, machine washable, and resistant to rolling or curling. Additionally, the company provides enterprise solutions and AI-powered platforms for real-time data analysis and insights. They offer Elasticsearch"
ELCOIN SP. Z O.O.,a.chekotilova@pin-up.business,"Elcoin is a company that combines experience and technology to provide full cycle systems and resources. They offer solutions for neobanks, marketplaces, and BaaS (Banking as a Service). Their services include internet banking, risk management, API hub, integrations, and support portal. They focus on providing innovative products and connecting companies to banking services. They also offer custom development skills and software experience. Elcoin is based in Poland and has a"
ELEARNINGFORCE POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,dprotosevich@lms365.com,"Elearningforce Poland Sp. z o.o. is a company that operates in the computer systems and services sector. They specialize in designing computer systems and providing related services. They are based in Warsaw, Poland."
ELEKS SP. Z O.O,job@eleks.com,"ELEKS is a company that specializes in software engineering outsourcing services. They provide full-cycle software development, from ideation to finished products. They are known for their guaranteed software engineering excellence, quality, and transparency. They have the financial, human, and technical resources to handle any task and offer attractive delivery conditions and convenient payment options. They also offer services in structural cabling and power network installation."
Elinext Softtech sp. z o. o.,elinextsofttech.biuro@gmail.com,"Elinext is a full-service software development company that was founded in 1997. They have over 700 developers worldwide and specialize in digital transformation and innovative software solutions. They offer services such as custom software development, mobile app development, web development, AI and machine learning, IoT solutions, and more. They have worked with over 300 global clients and have expertise in various industries. They also have a presence in Poland, with their head office"
ENGLISH IN GAMES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,hr@englishingames.com,"Based on the available information, it is difficult to determine the specific technical works and skills of the company English In Games Spółka z Ograniczoną Odpowiedzialnością. The search results mainly provide information about the company's registration details, authorities, and customer opinions. The company is described as a team of persistent individuals, including language learners and teachers, driven by a mission to help people. However, without access to the blocked"
ENWAY CONSULTING POLAND sp. z o. o.,info@enway.com,"Enway Consulting Poland Sp. z o.o. is a company based in Poland that operates in the field of Other Information Services. They offer Salesforce consulting and development services, as well as technical advisory services. They also specialize in customized systems, data warehousing, goal management, and B2B solutions."
EPAM Systems Poland Sp. z o. o. ,careers_poland@epam.com,"EPAM Poland specializes in a range of technical works and skills, including custom computer programming services, computer-related consulting services, computer facilities management, computer systems design, platform and product development, DevOps, agile ways of working, quality engineering, IoT, open source, API and integration, modernization, core and enterprise systems, MACH, cloud services, data and analytics, and artificial intelligence. They also provide services in strategy, talent enablement,"
EPOL IT Sp. z o.o.,tatsiana.melnichuk@epol-it.com,"EPOL IT is a Polish company that provides IT services and consultancy. They specialize in implementing IT solutions in the telecommunications, industry, and healthcare sectors. They offer services such as business analysis, software development, and research and development. They have expertise in various technologies and have completed over 100 projects in their 15 years of operation. They prioritize customer satisfaction, professionalism, and simplification in their work. They also emphasize the security of both their clients"
Equinix Poland,anna.derewlana@eu.equinix.com,"Equinix is a company that provides data center services and colocation services in Poland. They offer direct fiber connections to major telecom carriers and leading enterprises. Equinix has a carrier-neutral data center located in Warsaw, Poland. They also provide global data center services and colocation services for corporate networks. Additionally, Equinix offers telephone communication, electrical work, plumbing, heating, air-conditioning, and installation of building equipment."
EURISTIQ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,poland.business.harbour@euristiq.com,"Euristiq is a digital transformation agency that provides software engineering and consulting services. They specialize in digital consulting, app development, legacy modernization, IoT development, cloud adoption, and digital platforms. They also offer solutions in process automation, energy and sustainability, industrial IoT, and AI consulting. Euristiq helps companies transform, digitalize, and scale their businesses through innovative technical solutions. They have a team of top-tier developers who deliver high-quality"
EURO APM GROUP,EUROAPMGROUP@GMAIL.COM,"Euro Apm Group Sp. z o.o. is a company based in Poland that operates in the Document Preparation Services industry. APM Group is a global leader for best practice solutions and works with governments, not-for-profits, and businesses to develop certification schemes aligned to various fields, including IT and general management. They also offer accreditation services for internationally recognized programs in the field of best management practices. APMG International certifications are widely used, including"
EURO ATLANTIC SMART TECHNOLOGY SP. Z O.O,golovatyigor@gmail.com,"Euro Atlantic Smart Technology (EAST) is a multi-field IT company that focuses on web and mobile development for education, science, and finance. They offer services in technology, information, and the internet. They are based in Warsaw, Poland and provide services such as web and mobile development, as well as financial data analysis and consulting. They have key executives and ownership details available for reference."
Eurovensys sp. z o. o.,info@eurovensys.eu,"Eurovensys is a software development company based in Poland that offers full stack commercial grade software development services. They specialize in building new enterprise-level digital products and provide services such as software systems implementation, maintenance, and technical support. They have expertise in various programming languages, application frameworks, cloud computing platforms, and data and business intelligence tools. They work in different business areas such as healthcare, finance, and IT, and offer services like managed cross-functional development"
EVOLUTION PRODUCTS DEVELOPMENT POLAND Sp z o.o.,pprzetacka@evolution.com,"Evolution Products Development Poland Sp. z o.o. is a company based in Poland that specializes in technical product development. They are a development center for the parent company Evolution Malta Holding Limited and operate in the field of technical works and skills. They offer services related to product development and have expertise in areas such as software development, engineering, and technology."
Ework Group Sp. z o.o.,dorota.stemplewska@eworkgroup.com,"Ework Group is a company that offers comprehensive solutions in talent management. They provide consulting services to help companies find and manage the specialists they need for their projects. They also offer recruitment services to streamline the hiring process and provide integrated partnerships with HR departments. Additionally, Ework Group offers managed service provider (MSP) services to manage the entire talent flow, including sourcing, contracting, implementation, and reporting. They focus on IT, telecom, technology,"
EXADEL POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,sylwia.burek@codete.com,"Exadel is an enterprise software development and consulting company that offers services in strategy and technology consulting, AI and data management, digital experience, digital products and platforms, and IT managed services. They work with various industries including banking and capital markets, communication and media, e-commerce and retail, high growth startups, and software and high tech. They also have a presence in Poland and are looking to hire more IT specialists."
Execon,wioletta.plachta@execon.pl,"Execon is an executive consulting company that specializes in helping companies, owners, and CEOs navigate crises, innovate, and achieve future growth. They offer services such as restructuring, deep shit management, acquisitions and funding, and innovation management. They also have their own growth system called APISTM and use the FORTH© innovation method. They have experience in managing complex restructuring and recovery projects and have worked with companies of all sizes. Their goal is to maximize"
EXPERIS SP. Z O. O.,adam.jakubowski@pl.experis.com,"Experis is a specialized brand that provides advanced IT talent search and selection services. They accelerate organizational development by providing clients with the necessary specialists and management staff, as well as delivering advanced project solutions. They also offer IT recruitment, consulting, managed services, and project services. They specialize in business transformation, cloud and infrastructure solutions, digital workspace, enterprise applications, and cyber security. They work with the top 500 IT companies according to the Fortune "
